Time Slot,ind_chp1,ind_def1,ind_sur1,ind_chp2,ind_def2,ind_sur2,com_def3,com_sur3,com_def4,com_sur4,sd_def5,sd_sur5,sd_def6,sd_sur6,sd_def7,sd_sur7,camp_chp8,camp_def8,camp_sur8,,Total Deficit,Total Surplus
1,80,0,50,80,0,58,0,39.1,0,46.8,0,3.2,0,4.2,0,1.2,80,0,105,,,
2,80,0,48,80,0,59,128,0,121,0,22.6,0,20.6,0,22.6,0,80,71.39,0,,,
3,80,0,45,80,0,60,21,0,12,0,5,0,4,0,6,0,80,0,37.8,,,
4,80,0,45,80,0,56,22,0,26,0,6,0,3,0,6,0,80,0,32.4,,,
5,80,0,47,80,0,56,45,0,28,0,11,0,5,0,7,0,80,0,30.6,,,
6,80,0,75,80,0,69,49,0,0,8,3,0,3,0,3,0,80,0,0.9,,,
7,80,0,80,80,0,73,46,0,0,11,2,0,2,0,1,0,80,9,0,,,
8,80,0,55,80,0,16,53,0,0,13,0,5,2,0,4,0,80,23,0,,,
9,80,0,23,80,0,4,59,0,0,17,0,10,2,0,5,0,80,35,0,,,
10,80,0,16,80,6,0,51,0,0,8,0,13,1,0,0,0,80,41,0,,,
11,80,0,15,80,0,2,63,0,0,6,0,14,0,5,0,5,80,36,0,,,
12,80,0,2,80,5,0,70,0,0,25,0,12,0,0,0,7,80,36,0,,,
13,80,0,2,80,6,0,53,0,0,18,0,13,1,0,0,10,80,47,0,,,
14,80,33,0,80,0,3,54,0,0,18,0,7,0,2,0,3,80,46,0,,,
15,80,36,0,80,6,0,64,0,0,8,0,7,3,0,0,9,80,41,0,,,
16,80,50,0,80,5,0,80,0,0,25,0,10,1,0,0,3,80,15,0,,,
17,80,55,0,80,2,0,91,0,0,16,0,8,1,0,0,5,80,0,0.9,,,
18,141,0,0,80,0,7,0,6.5,0,122,0,5.4,0,5.4,0,8.4,81,0,100,,,
19,156,0,0,98,0,0,93,0,26,0,9,0,7,0,5,0,96,0,0,,,
20,154,0,0,95,0,0,83,0,20,0,8,0,8,0,6,0,101,0,0,,,
21,152,0,0,89,0,0,72,0,19,0,7,0,7,0,7,0,94,0,0,,,
22,112,0,0,87,0,0,65,0,20,0,5,0,5,0,5,0,87,0,0,,,
23,98,0,0,88,0,0,66,0,17,0,5,0,4,0,6,0,80,0,28,,,
24,91,0,0,81,0,0,57,0,15,0,6,0,4,0,6,0,80,0,30,,,
